Model Name,Train Accuracy,Train Loss,Val Accuracy,Val Loss,Test Accuracy,Test Loss,Macro F1 Score,Weighted F1 Score,Train Batch Size,Train Epochs,Train Learning Rate,Dataset,Status,Data
cnn_custom,0.21875,1.7262237071990967,0.25,1.4131746292114258,,,,,32,30,0.0003,brain-tumor-classification-mri,FINISHED,2026-08-05 01:11
densenet121,0.9507839679718018,0.13054044544696808,0.9146341681480408,0.2770012319087982,0.7512690424919128,1.2578775882720947,0.7205286162962565,0.7186391866308895,,,,brain-tumor-classification-mri,FINISHED,2026-08-05 00:44
efficientnet_b0,0.9621080160140991,0.0924309566617012,0.9233449697494507,0.26454439759254456,0.796954333782196,1.0612066984176636,0.7699580854543586,0.7630101145973323,,,,brain-tumor-classification-mri,FINISHED,2026-08-05 00:38
inception_v3,0.9616724848747253,0.10769825428724289,0.9320557713508606,0.2145543396472931,0.7842639684677124,1.3235222101211548,0.7665520722052205,0.7653723578604161,,,,brain-tumor-classification-mri,FINISHED,2026-08-05 00:34
cnn_custom,0.6293553709983826,0.9439214468002319,0.5905923247337341,1.050883173942566,0.44416242837905884,1.4559836387634277,0.4282960489719597,0.42091710975791097,,,,brain-tumor-classification-mri,FINISHED,2026-08-05 00:29
efficientnet_b0_evaluation,,,,,0.6776649951934814,1.2308701276779175,0.6472950713595316,0.6451786316770081,,,,,FINISHED,2026-08-02 16:05
inception_v3_evaluation,,,,,0.6675127148628235,1.1235657930374146,0.6531124820598505,0.6497833590005645,,,,,FINISHED,2026-08-02 16:05
cnn_custom_evaluation,,,,,0.1878172606229782,3.0746359825134277,0.07905982905982906,0.05939520152718122,,,,,FINISHED,2026-08-02 16:04
